p_partkey,p_name,p_mfgr,p_brand,p_type actual,p_size,p_container,p_retailprice,p_comment,p_type
25,blush forest magenta metallic turquoise,Manufacturer#5,Brand#55,STANDARD BRUSHED COPPER,3,JUMBO BAG,925.02,requests wake,132
26,lawn forest misty chartreuse snow,Manufacturer#3,Brand#32,SMALL BRUSHED STEEL,32,SM CASE,926.02, instructions i,109
27,plum drab cornflower brown dim,Manufacturer#1,Brand#14,LARGE ANODIZED TIN,20,MED PKG,927.02,s wake. ir,30
28,green honeydew dim cyan bisque,Manufacturer#4,Brand#44,SMALL PLATED COPPER,19,JUMBO PKG,928.02,"x-ray pending, iron",117
29,aquamarine sky salmon rose burlywood,Manufacturer#3,Brand#33,PROMO PLATED COPPER,7,LG DRUM,929.02, carefully fluffi,92
30,blush beige steel cyan navy,Manufacturer#4,Brand#42,PROMO ANODIZED TIN,17,LG BOX,930.03,carefully bus,80
31,grey ghost steel maroon moccasin,Manufacturer#5,Brand#53,STANDARD BRUSHED TIN,10,LG BAG,931.03,uriously s,135
32,yellow wheat midnight papaya blue,Manufacturer#4,Brand#42,ECONOMY PLATED BRASS,31,LG CASE,932.03,urts. carefully fin,16
33,maroon beige mint cyan peru,Manufacturer#2,Brand#22,ECONOMY PLATED NICKEL,16,LG PKG,933.03,ly eve,18
34,bisque pink dodger cream goldenrod,Manufacturer#1,Brand#13,LARGE BRUSHED STEEL,8,JUMBO BOX,934.03,riously ironic,34
35,green blue coral antique sandy,Manufacturer#4,Brand#43,MEDIUM ANODIZED BRASS,14,JUMBO PACK,935.03,e carefully furi,51
36,chiffon smoke floral misty navy,Manufacturer#2,Brand#25,SMALL BURNISHED COPPER,3,JUMBO CAN,936.03,olites o,112
37,turquoise ivory orange sandy maroon,Manufacturer#4,Brand#45,LARGE POLISHED TIN,48,JUMBO BOX,937.03,silent ,50
38,seashell floral bisque midnight black,Manufacturer#4,Brand#43,ECONOMY ANODIZED BRASS,11,SM JAR,938.03,structions inte,1
39,rose dodger lace peru floral,Manufacturer#5,Brand#53,SMALL POLISHED TIN,43,JUMBO JAR,939.03,se slowly above the fl,125
40,rosy midnight floral misty green,Manufacturer#2,Brand#25,ECONOMY BURNISHED COPPER,27,SM CASE,940.04,! blithely specia,12
41,burlywood ghost antique metallic pale,Manufacturer#2,Brand#23,ECONOMY ANODIZED TIN,7,WRAP JAR,941.04,uriously. furiously cl,5
42,midnight azure bisque turquoise lawn,Manufacturer#5,Brand#52,MEDIUM BURNISHED TIN,45,LG BOX,942.04,the slow,65
43,medium khaki chocolate rosy blush,Manufacturer#4,Brand#44,PROMO POLISHED STEEL,5,WRAP CASE,943.04,e slyly along the ir,99
44,medium maroon wheat lavender blush,Manufacturer#4,Brand#45,MEDIUM PLATED TIN,48,SM PACK,944.04,pinto beans. carefully,70
45,lemon medium frosted indian linen,Manufacturer#4,Brand#43,SMALL BRUSHED NICKEL,9,WRAP BAG,945.04,nts bo,108
46,antique peru lemon sandy steel,Manufacturer#1,Brand#11,STANDARD POLISHED TIN,45,WRAP CASE,946.04,the blithely unusual ,150
47,sky firebrick red linen dim,Manufacturer#4,Brand#45,LARGE BURNISHED BRASS,14,JUMBO PACK,947.04, even plate,36
48,slate thistle indian lace drab,Manufacturer#5,Brand#53,STANDARD BRUSHED STEEL,27,JUMBO CASE,948.04,ng to the depo,134
49,blue tan cornsilk burlywood beige,Manufacturer#2,Brand#24,SMALL BURNISHED TIN,31,MED DRUM,949.04,ar pack,115
50,yellow cornflower royal blush almond,Manufacturer#3,Brand#33,LARGE ANODIZED TIN,25,WRAP PKG,950.05,kages m,30
51,lime forest puff deep firebrick,Manufacturer#4,Brand#45,ECONOMY BURNISHED NICKEL,34,JUMBO PACK,951.05,n foxes,13
52,lemon lace khaki powder blanched,Manufacturer#3,Brand#35,STANDARD BURNISHED TIN,25,WRAP CASE,952.05, final deposits. fu,140
53,grey black dodger sandy puff,Manufacturer#2,Brand#23,ECONOMY BURNISHED NICKEL,32,MED BAG,953.05,mptot,13
54,peach smoke yellow pale cornflower,Manufacturer#2,Brand#21,LARGE BURNISHED COPPER,19,WRAP CASE,954.05,e blithely,37
55,antique cream pale tomato rose,Manufacturer#2,Brand#23,ECONOMY BRUSHED COPPER,9,MED BAG,955.05,ly final pac,7
56,midnight goldenrod drab ivory blanched,Manufacturer#1,Brand#12,MEDIUM PLATED STEEL,20,WRAP DRUM,956.05,ts. blithel,69
57,purple blue tan goldenrod medium,Manufacturer#3,Brand#32,MEDIUM BURNISHED BRASS,49,MED PKG,957.05,lly abov,61
58,linen beige coral dim salmon,Manufacturer#5,Brand#53,STANDARD POLISHED TIN,44,LG PACK,958.05, fluffily blithely reg,150
59,misty blush metallic spring blanched,Manufacturer#5,Brand#53,MEDIUM POLISHED TIN,2,LG BAG,959.05,regular exc,75
60,sky burnished salmon navajo hot,Manufacturer#1,Brand#11,LARGE POLISHED COPPER,27,JUMBO CASE,960.06, integ,47
61,drab burnished lime navy slate,Manufacturer#5,Brand#54,SMALL BURNISHED NICKEL,18,WRAP DRUM,961.06,es. blithely en,113
62,tan ivory aquamarine indian burlywood,Manufacturer#3,Brand#35,STANDARD BRUSHED BRASS,39,JUMBO BOX,962.06,ckly across the carefu,131
63,frosted puff hot rose coral,Manufacturer#3,Brand#32,STANDARD BURNISHED NICKEL,10,JUMBO CAN,963.06, quickly ,138
64,aquamarine puff papaya hot floral,Manufacturer#2,Brand#21,MEDIUM ANODIZED BRASS,1,JUMBO CAN,964.06,efully regular pi,51
65,slate lavender tomato black floral,Manufacturer#5,Brand#53,MEDIUM BRUSHED COPPER,3,MED CAN,965.06,posits after the quic,57
66,cornflower orchid chocolate lawn light,Manufacturer#3,Brand#35,PROMO ANODIZED NICKEL,46,SM CASE,966.06,haggle blithely iro,78
67,slate cornsilk red orange plum,Manufacturer#2,Brand#21,SMALL BRUSHED TIN,31,WRAP DRUM,967.06," regular, p",110
68,bisque frosted pale puff sandy,Manufacturer#1,Brand#11,PROMO ANODIZED STEEL,10,WRAP BOX,968.06,eposits shall h,79
69,peru green linen blush olive,Manufacturer#5,Brand#52,MEDIUM POLISHED BRASS,2,SM BOX,969.06,ely final depo,71
70,violet midnight dark cornsilk wheat,Manufacturer#1,Brand#11,STANDARD BRUSHED STEEL,42,LG PACK,970.07,inal gifts. sl,134
71,sky green spring lavender white,Manufacturer#3,Brand#33,STANDARD PLATED BRASS,26,WRAP DRUM,971.07, packages alongside,141
72,orange spring burlywood chocolate black,Manufacturer#2,Brand#23,STANDARD ANODIZED TIN,25,JUMBO PACK,972.07,efully final the,130
73,cream misty tomato peach burlywood,Manufacturer#2,Brand#21,SMALL BRUSHED COPPER,35,WRAP DRUM,973.07,ts haggl,107
74,dim linen frosted thistle pale,Manufacturer#5,Brand#55,ECONOMY ANODIZED BRASS,25,JUMBO CASE,974.07,ent foxes,1
75,aquamarine lace wheat salmon blue,Manufacturer#3,Brand#35,SMALL BURNISHED NICKEL,39,SM JAR,975.07,s sleep furiou,113
76,bisque light yellow puff salmon,Manufacturer#3,Brand#34,MEDIUM BRUSHED COPPER,9,SM PKG,976.07,n accounts sleep qu,57
77,slate bisque burnished honeydew beige,Manufacturer#5,Brand#52,STANDARD BRUSHED COPPER,13,MED PKG,977.07,uests.,132
78,blush green slate bisque powder,Manufacturer#1,Brand#14,ECONOMY POLISHED STEEL,24,LG JAR,978.07,icing deposits wake,24
79,puff pink floral steel forest,Manufacturer#4,Brand#45,PROMO ANODIZED BRASS,22,JUMBO BAG,979.07, foxes are slyly regu,76
80,tomato saddle brown bisque light,Manufacturer#4,Brand#44,PROMO PLATED BRASS,28,MED CAN,980.08,unusual dependencies i,91
81,misty salmon cornflower dark frosted,Manufacturer#5,Brand#53,ECONOMY BRUSHED TIN,21,MED BAG,981.08,ove the furiou,10
82,khaki tomato purple indian lemon,Manufacturer#1,Brand#15,ECONOMY POLISHED TIN,12,WRAP BOX,982.08,ial requests haggle ,25
83,chocolate green deep lace aquamarine,Manufacturer#1,Brand#12,PROMO BURNISHED NICKEL,47,SM CAN,983.08,ly regul,88
84,salmon peru frosted red chiffon,Manufacturer#4,Brand#45,SMALL ANODIZED NICKEL,26,JUMBO PACK,984.08,ideas nag,103
85,aquamarine cornsilk floral misty light,Manufacturer#5,Brand#55,PROMO ANODIZED NICKEL,16,LG BAG,985.08, silent,78
86,green blanched khaki steel deep,Manufacturer#4,Brand#44,STANDARD PLATED TIN,37,LG CASE,986.08, daring sheaves ,145
87,pale khaki sandy antique black,Manufacturer#4,Brand#41,LARGE PLATED STEEL,41,WRAP PACK,987.08,yly final,44
88,blue olive azure burlywood lavender,Manufacturer#4,Brand#44,PROMO PLATED COPPER,16,SM CASE,988.08,e regular packages. ,92
89,ghost khaki lawn pale dim,Manufacturer#5,Brand#53,STANDARD BURNISHED STEEL,7,MED JAR,989.08,y final pinto ,139
90,ghost goldenrod violet blue purple,Manufacturer#5,Brand#51,ECONOMY POLISHED STEEL,49,JUMBO CAN,990.09,caref,24
91,dark beige metallic ivory burlywood,Manufacturer#2,Brand#21,STANDARD BRUSHED TIN,32,JUMBO PKG,991.09,counts dete,135
92,chiffon dodger turquoise thistle red,Manufacturer#2,Brand#22,STANDARD ANODIZED TIN,35,JUMBO PKG,992.09,he ironic accounts. sp,130
93,blanched yellow cornflower khaki mint,Manufacturer#2,Brand#24,LARGE ANODIZED TIN,2,WRAP DRUM,993.09, platel,30
94,azure pink orange goldenrod grey,Manufacturer#3,Brand#35,STANDARD POLISHED BRASS,32,SM BOX,994.09,s accounts cajo,146
95,coral chocolate wheat smoke magenta,Manufacturer#3,Brand#33,LARGE BRUSHED TIN,36,WRAP DRUM,995.09, final pinto beans ,35
96,steel light drab chartreuse honeydew,Manufacturer#5,Brand#53,STANDARD BRUSHED STEEL,32,SM CASE,996.09,ng to the bli,134
97,metallic dodger aquamarine azure drab,Manufacturer#3,Brand#33,MEDIUM POLISHED BRASS,49,WRAP CAN,997.09,ss excuses sleep am,71
98,frosted goldenrod chartreuse dark honeydew,Manufacturer#5,Brand#54,STANDARD ANODIZED BRASS,22,MED JAR,998.09,e the q,126
99,lemon peru chiffon sienna deep,Manufacturer#2,Brand#21,SMALL BURNISHED STEEL,11,JUMBO PKG,999.09,press,114
100,light orange khaki chiffon purple,Manufacturer#3,Brand#33,ECONOMY ANODIZED TIN,4,LG BAG,1000.1,of the steal,5
101,hot yellow turquoise violet floral,Manufacturer#3,Brand#32,LARGE ANODIZED STEEL,26,JUMBO JAR,1001.1,"ly even,",29
102,firebrick orchid blanched sienna grey,Manufacturer#3,Brand#31,MEDIUM BURNISHED BRASS,17,SM DRUM,1002.1,ular packa,61
103,navy cream lime orange metallic,Manufacturer#2,Brand#25,MEDIUM PLATED BRASS,45,WRAP DRUM,1003.1,e blithely blith,66
104,dim cream chocolate cornflower orange,Manufacturer#1,Brand#13,MEDIUM ANODIZED STEEL,36,JUMBO BAG,1004.1,ites sleep quickly,54
105,rose puff ivory blanched burnished,Manufacturer#1,Brand#15,SMALL POLISHED COPPER,27,LG DRUM,1005.1,odolites was ,122
106,cornsilk beige deep lavender antique,Manufacturer#3,Brand#31,MEDIUM PLATED BRASS,28,WRAP DRUM,1006.1,unts maintain ,66
107,cyan coral red slate orange,Manufacturer#5,Brand#53,SMALL BURNISHED TIN,12,MED BOX,1007.1,slyly special depos,115
108,honeydew papaya gainsboro tomato puff,Manufacturer#1,Brand#12,PROMO PLATED NICKEL,41,MED PKG,1008.1,after the carefully ,93
109,lemon indian blanched chiffon coral,Manufacturer#3,Brand#33,ECONOMY POLISHED TIN,11,LG PACK,1009.1,instruction,25
110,cornflower azure beige floral black,Manufacturer#3,Brand#33,STANDARD BURNISHED COPPER,46,LG DRUM,1010.11,t quickly a,137
111,sandy almond chocolate moccasin misty,Manufacturer#5,Brand#54,LARGE BRUSHED COPPER,28,JUMBO JAR,1011.11,kly bold epitaphs ,32
112,hot burnished tomato chocolate peru,Manufacturer#4,Brand#43,PROMO BRUSHED STEEL,42,JUMBO CAN,1012.11,"the express, ",84
113,almond coral royal honeydew lawn,Manufacturer#3,Brand#31,PROMO POLISHED TIN,23,LG CAN,1013.11,finally even ,100
114,pale bisque antique white royal,Manufacturer#5,Brand#51,MEDIUM POLISHED NICKEL,41,MED PACK,1014.11,ully final foxes. pint,73
115,spring hot sienna azure dark,Manufacturer#4,Brand#45,STANDARD POLISHED STEEL,24,MED CAN,1015.11,counts nag! caref,149
116,thistle cornsilk pale firebrick black,Manufacturer#5,Brand#53,PROMO POLISHED NICKEL,33,SM PACK,1016.11,usly final courts ,98
117,tomato grey chiffon burlywood ghost,Manufacturer#1,Brand#14,SMALL BRUSHED TIN,25,LG BAG,1017.11,ages acc,110
118,bisque plum royal burlywood brown,Manufacturer#2,Brand#25,PROMO ANODIZED TIN,31,MED PACK,1018.11,ly ironic pinto,80
119,olive black navajo burlywood ghost,Manufacturer#4,Brand#43,LARGE POLISHED STEEL,30,WRAP CASE,1019.11,out the quickly r,49
120,navy chocolate frosted burnished moccasin,Manufacturer#1,Brand#14,SMALL ANODIZED NICKEL,45,WRAP JAR,1020.12,lly a,103
121,smoke chiffon gainsboro magenta firebrick,Manufacturer#1,Brand#14,ECONOMY BRUSHED COPPER,13,SM PKG,1021.12,deposi,7
122,ghost royal chocolate peach ivory,Manufacturer#2,Brand#21,MEDIUM ANODIZED TIN,8,LG DRUM,1022.12,sts c,55
123,cream almond papaya salmon blanched,Manufacturer#1,Brand#12,SMALL BURNISHED TIN,31,JUMBO PKG,1023.12,ray regula,115
124,wheat azure khaki tan lime,Manufacturer#3,Brand#32,PROMO ANODIZED STEEL,1,LG BOX,1024.12,g the expr,79
125,metallic indian magenta navy medium,Manufacturer#1,Brand#12,STANDARD BRUSHED BRASS,17,WRAP BAG,1025.12,kages against,131
126,burnished navy indian medium deep,Manufacturer#4,Brand#45,MEDIUM BRUSHED NICKEL,4,LG BAG,1026.12,es sleep al,58
127,moccasin green orchid blue blanched,Manufacturer#5,Brand#52,SMALL BURNISHED NICKEL,14,LG JAR,1027.12,lithely expr,113
128,linen brown khaki snow gainsboro,Manufacturer#2,Brand#22,PROMO PLATED TIN,5,SM BAG,1028.12,e of the furiously ex,95
129,turquoise spring sandy tan ivory,Manufacturer#1,Brand#15,LARGE POLISHED TIN,20,SM JAR,1029.12, careful,50
130,gainsboro goldenrod chiffon orchid rose,Manufacturer#2,Brand#23,SMALL PLATED NICKEL,26,LG BOX,1030.13,ake slyly,118
131,tomato moccasin sandy blue frosted,Manufacturer#5,Brand#52,STANDARD ANODIZED BRASS,43,MED DRUM,1031.13,nts wake dar,126
132,seashell papaya thistle light powder,Manufacturer#4,Brand#45,STANDARD BURNISHED BRASS,2,WRAP DRUM,1032.13,ckly expre,136
133,navajo black dim peru deep,Manufacturer#1,Brand#13,SMALL BRUSHED NICKEL,19,LG PKG,1033.13, final pinto beans,108
134,turquoise goldenrod white moccasin spring,Manufacturer#4,Brand#42,SMALL POLISHED STEEL,35,SM PKG,1034.13,es. bold pa,124
135,metallic lime cyan forest burlywood,Manufacturer#2,Brand#21,MEDIUM BURNISHED STEEL,24,JUMBO CASE,1035.13,l frets ,64
136,cornsilk blush powder tan rose,Manufacturer#2,Brand#22,SMALL PLATED STEEL,2,WRAP BAG,1036.13,kages print carefully,119
137,saddle dodger purple salmon rosy,Manufacturer#3,Brand#31,ECONOMY PLATED STEEL,25,MED PACK,1037.13,the t,19
138,dark goldenrod ghost hot grey,Manufacturer#1,Brand#13,ECONOMY BURNISHED COPPER,42,JUMBO DRUM,1038.13,ts solve acro,12
139,floral chocolate purple deep coral,Manufacturer#3,Brand#32,MEDIUM BRUSHED STEEL,7,SM BOX,1039.13,ter t,59
140,frosted chiffon thistle sky grey,Manufacturer#5,Brand#53,STANDARD PLATED STEEL,45,SM BOX,1040.14,oss the carefu,144
141,peru sienna salmon snow gainsboro,Manufacturer#3,Brand#35,STANDARD ANODIZED STEEL,23,SM PKG,1041.14,ans nag furiously pen,129
142,chartreuse sky deep slate thistle,Manufacturer#5,Brand#55,STANDARD ANODIZED BRASS,36,MED JAR,1042.14,he accounts. pac,126
143,moccasin dim almond black misty,Manufacturer#3,Brand#34,ECONOMY PLATED TIN,44,MED BAG,1043.14,nts across the,20
144,wheat brown orange almond aquamarine,Manufacturer#1,Brand#14,SMALL ANODIZED TIN,26,SM BOX,1044.14,owly ,105
145,indian rosy chartreuse orchid grey,Manufacturer#5,Brand#53,PROMO BRUSHED COPPER,24,SM BAG,1045.14,es wake furiously blit,82
146,azure medium midnight burlywood blue,Manufacturer#3,Brand#34,STANDARD BRUSHED COPPER,11,WRAP PACK,1046.14,unts cajole,132
147,honeydew brown deep light chartreuse,Manufacturer#1,Brand#11,MEDIUM PLATED COPPER,29,JUMBO PKG,1047.14,wake never bold ,67
148,yellow white tan khaki saddle,Manufacturer#3,Brand#31,STANDARD PLATED STEEL,20,SM BOX,1048.14,platelets wake fu,144
149,tan cyan forest ghost plum,Manufacturer#2,Brand#24,MEDIUM BURNISHED NICKEL,6,MED PKG,1049.14,leep requests. dog,63
150,antique red moccasin green burlywood,Manufacturer#3,Brand#35,LARGE BRUSHED TIN,21,SM BAG,1050.15,ironic foxes,35
151,chartreuse lime slate white thistle,Manufacturer#3,Brand#34,LARGE PLATED BRASS,45,MED CAN,1051.15,ccounts nag i,41
152,light indian linen dodger blush,Manufacturer#5,Brand#53,MEDIUM POLISHED STEEL,48,MED CASE,1052.15,thely regular t,74
153,powder firebrick chiffon purple khaki,Manufacturer#1,Brand#11,STANDARD PLATED TIN,20,MED BAG,1053.15,thlessly. silen,145
154,peru powder pink orchid lace,Manufacturer#1,Brand#11,ECONOMY ANODIZED TIN,1,JUMBO BAG,1054.15,posits ,5
155,beige saddle cornsilk mint sky,Manufacturer#2,Brand#21,SMALL BRUSHED NICKEL,28,WRAP CASE,1055.15,"lly ironic, r",108
156,steel gainsboro plum black cornsilk,Manufacturer#4,Brand#43,SMALL POLISHED NICKEL,2,LG PKG,1056.15, pinto beans. eve,123
157,navajo lime cream ghost drab,Manufacturer#1,Brand#11,ECONOMY ANODIZED STEEL,26,JUMBO PACK,1057.15,ial courts. ru,4
158,magenta light rosy almond goldenrod,Manufacturer#4,Brand#45,MEDIUM BURNISHED COPPER,47,LG JAR,1058.15, ideas detect slyl,62
159,linen drab antique steel aquamarine,Manufacturer#4,Brand#43,SMALL ANODIZED BRASS,46,SM BAG,1059.15, ironic requests-- pe,101
160,lace coral cream saddle maroon,Manufacturer#5,Brand#55,STANDARD POLISHED COPPER,47,JUMBO CAN,1060.16,nts are carefully,147
161,hot dodger rosy firebrick aquamarine,Manufacturer#2,Brand#22,STANDARD PLATED TIN,17,SM PACK,1061.16,r the bl,145
162,aquamarine coral black ivory misty,Manufacturer#3,Brand#33,MEDIUM ANODIZED COPPER,35,JUMBO PACK,1062.16,e slyly around th,52
163,blush yellow frosted lace drab,Manufacturer#2,Brand#21,ECONOMY PLATED TIN,34,WRAP DRUM,1063.16,nly s,20
164,brown cream linen frosted blue,Manufacturer#2,Brand#23,LARGE PLATED BRASS,35,JUMBO BAG,1064.16,mong th,41
165,chiffon dim coral sienna seashell,Manufacturer#1,Brand#15,STANDARD PLATED STEEL,24,SM CAN,1065.16, carefully fin,144
166,linen royal chiffon floral misty,Manufacturer#5,Brand#52,LARGE POLISHED COPPER,4,MED BAG,1066.16,ss the,47
167,almond lavender lawn pink ghost,Manufacturer#3,Brand#32,LARGE ANODIZED STEEL,46,WRAP BOX,1067.16,ic ac,29
168,lace frosted brown slate lawn,Manufacturer#1,Brand#13,SMALL BRUSHED COPPER,20,JUMBO DRUM,1068.16,ss package,107
169,tan lime sky almond midnight,Manufacturer#5,Brand#55,STANDARD POLISHED BRASS,10,JUMBO CASE,1069.16,lets alongside of,146
170,peru green hot medium thistle,Manufacturer#3,Brand#33,LARGE POLISHED COPPER,28,LG DRUM,1070.17,yly s,47
171,beige seashell almond linen blush,Manufacturer#1,Brand#11,STANDARD BURNISHED COPPER,40,LG JAR,1071.17, the r,137
172,medium goldenrod tan light brown,Manufacturer#5,Brand#53,PROMO PLATED NICKEL,28,MED CASE,1072.17,quick as,93
173,pale papaya tomato navajo coral,Manufacturer#1,Brand#12,ECONOMY BURNISHED TIN,17,LG CASE,1073.17,sly bold excuses haggl,15
174,plum pink medium saddle orchid,Manufacturer#1,Brand#15,ECONOMY BRUSHED COPPER,25,LG CASE,1074.17, accounts nag ab,7
175,azure blanched chartreuse moccasin ghost,Manufacturer#1,Brand#11,PROMO ANODIZED TIN,45,JUMBO JAR,1075.17,ole against the,80
176,lawn forest indian orchid peru,Manufacturer#2,Brand#24,SMALL ANODIZED STEEL,40,MED CAN,1076.17,blithely. ironic,104
177,indian deep sandy floral yellow,Manufacturer#2,Brand#21,MEDIUM BRUSHED STEEL,42,LG BAG,1077.17,ermanently eve,59
178,blue black cornflower white powder,Manufacturer#1,Brand#13,STANDARD POLISHED TIN,10,LG JAR,1078.17,regular instructions.,150
179,rose lime blush bisque ivory,Manufacturer#4,Brand#43,ECONOMY BRUSHED STEEL,20,LG JAR,1079.17,ely regul,9
180,purple blanched khaki blush aquamarine,Manufacturer#3,Brand#33,STANDARD BURNISHED NICKEL,7,WRAP BAG,1080.18,oss the ,138
181,almond burlywood smoke peru dark,Manufacturer#2,Brand#24,MEDIUM PLATED STEEL,19,WRAP CAN,1081.18,al deposits ,69
182,beige medium brown chartreuse purple,Manufacturer#3,Brand#31,MEDIUM ANODIZED COPPER,11,JUMBO CAN,1082.18,bits are ,52
183,ivory white wheat pale orange,Manufacturer#5,Brand#52,PROMO POLISHED STEEL,35,LG PKG,1083.18,ly regular excus,99
184,burlywood cream cornsilk chocolate purple,Manufacturer#5,Brand#53,SMALL POLISHED TIN,42,LG BOX,1084.18,ding courts. idly iro,125
185,firebrick rose indian spring magenta,Manufacturer#4,Brand#44,ECONOMY POLISHED TIN,4,WRAP BAG,1085.18,even foxe,25
186,papaya cream chartreuse spring blush,Manufacturer#2,Brand#23,ECONOMY BRUSHED TIN,15,JUMBO PKG,1086.18,ly reg,10
187,white brown cyan lavender orange,Manufacturer#4,Brand#45,PROMO ANODIZED BRASS,45,MED CAN,1087.18,leep slyly s,76
188,gainsboro steel rosy dim drab,Manufacturer#5,Brand#54,ECONOMY ANODIZED BRASS,9,MED CAN,1088.18, above the silent p,1
189,dodger misty yellow brown grey,Manufacturer#2,Brand#22,MEDIUM BRUSHED BRASS,13,WRAP DRUM,1089.18,en requests. sauternes,56
190,chartreuse khaki ivory chiffon bisque,Manufacturer#5,Brand#53,LARGE BURNISHED NICKEL,23,WRAP BAG,1090.19, furiously even d,38
191,navajo metallic puff firebrick cornflower,Manufacturer#3,Brand#31,MEDIUM POLISHED BRASS,36,WRAP BOX,1091.19, asymptote,71
192,light seashell firebrick cornflower green,Manufacturer#3,Brand#34,STANDARD BRUSHED COPPER,17,MED BAG,1092.19,"uickly regular, expr",132
193,turquoise sienna rose rosy chocolate,Manufacturer#4,Brand#45,ECONOMY BURNISHED BRASS,31,SM PKG,1093.19,final ideas wake furi,11
194,powder bisque cornflower navajo pink,Manufacturer#5,Brand#51,ECONOMY POLISHED STEEL,7,SM CAN,1094.19,y special accoun,24
195,lace floral blush linen cornflower,Manufacturer#4,Brand#41,STANDARD BRUSHED NICKEL,40,MED CASE,1095.19,oxes sleep care,133
196,pale blush lime grey blue,Manufacturer#3,Brand#33,SMALL BURNISHED NICKEL,3,JUMBO JAR,1096.19,uickly special ,113
197,blue turquoise cornsilk rosy chartreuse,Manufacturer#5,Brand#52,SMALL ANODIZED COPPER,18,SM JAR,1097.19,lithely after the eve,102
198,orange khaki papaya cyan navajo,Manufacturer#4,Brand#41,PROMO BRUSHED NICKEL,43,SM PACK,1098.19,ackages? carefully re,83
199,royal slate lace olive gainsboro,Manufacturer#3,Brand#31,ECONOMY PLATED STEEL,23,JUMBO DRUM,1099.19,ickly regul,19
200,burnished mint navajo beige dark,Manufacturer#5,Brand#54,MEDIUM POLISHED BRASS,22,LG PKG,1100.2,furiously even depo,71
201,midnight white medium misty magenta,Manufacturer#4,Brand#42,SMALL POLISHED STEEL,18,JUMBO BAG,1101.2, courts sl,124
202,brown burnished turquoise moccasin olive,Manufacturer#4,Brand#45,MEDIUM BRUSHED COPPER,49,MED DRUM,1102.2, use slyly c,57
